Effective config:
  preset=none difficulty=medium
  games=10000000 train=True
  placement_strategy=model
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (105,791 params)
Device: cpu
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: capstone_agent/models/capstone_model.pt
  Placement agent: strategy=model, 105,791 params
  Placement weights: capstone_agent/models/placement_model.pt
  Opponent: rl-capstone [frozen champion: main=capstone_agent/models/champion_main_play.pt, placement=capstone_agent/models/champion_placement.pt]
  Self-play ladder: enabled
  Champion history dir: capstone_agent/models/champion_history/selfplay_run1
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=10000 games
  Replay JSON save: disabled
  Benchmark CSV: capstone_agent/benchmarks/selfplay_10m_run1.csv
  Device: cpu

Game   90/10000000:       LOST  steps= 295  reward=-1.2  [wr300=43.3%(90); by_enemy: rl-capstone(champion)=43.3%(90)]
Game   91/10000000:       LOST  steps= 301  reward=-1.0  [wr300=42.9%(91); by_enemy: rl-capstone(champion)=42.9%(91)]
Game   92/10000000:       LOST  steps= 298  reward=-1.2  [wr300=42.4%(92); by_enemy: rl-capstone(champion)=42.4%(92)]
Game   93/10000000:        WON  steps= 489  reward=+1.2  [wr300=43.0%(93); by_enemy: rl-capstone(champion)=43.0%(93)]
Game   94/10000000:       LOST  steps= 317  reward=-1.2  [wr300=42.6%(94); by_enemy: rl-capstone(champion)=42.6%(94)]
Game   95/10000000:       LOST  steps= 205  reward=-1.1  [wr300=42.1%(95); by_enemy: rl-capstone(champion)=42.1%(95)]
Game   96/10000000:        WON  steps= 184  reward=+1.5  [wr300=42.7%(96); by_enemy: rl-capstone(champion)=42.7%(96)]
  trained PPO on 4106 buffered transitions (games in batch: 13; trigger=steps: buffered transitions reached 4106)
Game   97/10000000:       LOST  steps= 306  reward=-1.2  [wr300=42.3%(97); by_enemy: rl-capstone(champion)=42.3%(97)]
Game   98/10000000:        WON  steps= 420  reward=+1.3  [wr300=42.9%(98); by_enemy: rl-capstone(champion)=42.9%(98)]
Game   99/10000000:        WON  steps= 314  reward=+1.4  [wr300=43.4%(99); by_enemy: rl-capstone(champion)=43.4%(99)]
Game  100/10000000:       LOST  steps= 212  reward=-1.1  [wr300=43.0%(100); by_enemy: rl-capstone(champion)=43.0%(100)]
Game  101/10000000:       LOST  steps= 314  reward=-1.2  [wr300=42.6%(101); by_enemy: rl-capstone(champion)=42.6%(101)]
Game  102/10000000:       LOST  steps= 232  reward=-1.1  [wr300=42.2%(102); by_enemy: rl-capstone(champion)=42.2%(102)]
Game  103/10000000:        WON  steps= 420  reward=+1.3  [wr300=42.7%(103); by_enemy: rl-capstone(champion)=42.7%(103)]
Game  104/10000000:        WON  steps= 362  reward=+1.4  [wr300=43.3%(104); by_enemy: rl-capstone(champion)=43.3%(104)]
Game  105/10000000:       LOST  steps= 363  reward=-1.2  [wr300=42.9%(105); by_enemy: rl-capstone(champion)=42.9%(105)]
Game  106/10000000:        WON  steps= 329  reward=+1.4  [wr300=43.4%(106); by_enemy: rl-capstone(champion)=43.4%(106)]
Game  107/10000000:       LOST  steps= 240  reward=-1.1  [wr300=43.0%(107); by_enemy: rl-capstone(champion)=43.0%(107)]
Game  108/10000000:       LOST  steps= 364  reward=-0.9  [wr300=42.6%(108); by_enemy: rl-capstone(champion)=42.6%(108)]
Game  109/10000000:        WON  steps= 216  reward=+1.5  [wr300=43.1%(109); by_enemy: rl-capstone(champion)=43.1%(109)]
Game  110/10000000:        WON  steps= 405  reward=+1.3  [wr300=43.6%(110); by_enemy: rl-capstone(champion)=43.6%(110)]
Game  111/10000000:       LOST  steps= 444  reward=-1.3  [wr300=43.2%(111); by_enemy: rl-capstone(champion)=43.2%(111)]
Game  112/10000000:        WON  steps= 299  reward=+1.4  [wr300=43.8%(112); by_enemy: rl-capstone(champion)=43.8%(112)]
Game  113/10000000:        WON  steps= 394  reward=+1.3  [wr300=44.2%(113); by_enemy: rl-capstone(champion)=44.2%(113)]
Game  114/10000000:        WON  steps= 427  reward=+1.3  [wr300=44.7%(114); by_enemy: rl-capstone(champion)=44.7%(114)]
Game  115/10000000:        WON  steps= 480  reward=+1.2  [wr300=45.2%(115); by_enemy: rl-capstone(champion)=45.2%(115)]
Game  116/10000000:       LOST  steps= 244  reward=-1.1  [wr300=44.8%(116); by_enemy: rl-capstone(champion)=44.8%(116)]
