=== 2026-04-05T20:17:06-04:00 neuner_vs_alphabeta start cwd=/hpc/home/wjn7/catan_ai ===
=== GPU check ===
GPU 0: NVIDIA RTX 5000 Ada Generation (UUID: GPU-59c4ee0f-b317-ac8a-e75d-67c9e2b77278)
torch 2.10.0+cu128 cuda_available True
NVIDIA RTX 5000 Ada Generation
Effective config:
  preset=none difficulty=medium
  games=1000000 train=True
  placement_strategy=alphabeta
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (alphabeta(depth=2, prunning=True))
Device: cuda
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: /hpc/home/wjn7/catan_ai/capstone_agent/models/capstone_model.pt
  Placement agent: strategy=alphabeta, alphabeta(depth=2, prunning=True)
  Placement weights: [none loaded]
  Opponent: alphabeta (depth=2, prunning=True)
  Self-play ladder: disabled
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=2000 games, numbered main checkpoint copies
  Replay JSON save: enabled, dir=/hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/replays, every 100 games
  Benchmark CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/benchmark_games.csv
  PPO metrics CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/ppo_training.csv
  Device: cuda

Game   60/1000000:       LOST  steps=  63  reward=-0.7  [wr300=1.7%(60); by_enemy: alphabeta@2=1.7%(60)]
Game   61/1000000:       LOST  steps=  78  reward=-0.6  [wr300=1.6%(61); by_enemy: alphabeta@2=1.6%(61)]
Game   62/1000000:       LOST  steps=  99  reward=-0.8  [wr300=1.6%(62); by_enemy: alphabeta@2=1.6%(62)]
Game   63/1000000:       LOST  steps=  88  reward=-0.7  [wr300=1.6%(63); by_enemy: alphabeta@2=1.6%(63)]
Game   64/1000000:       LOST  steps=  76  reward=-0.8  [wr300=1.6%(64); by_enemy: alphabeta@2=1.6%(64)]
Game   65/1000000:       LOST  steps=  94  reward=-0.8  [wr300=1.5%(65); by_enemy: alphabeta@2=1.5%(65)]
Game   66/1000000:       LOST  steps= 120  reward=-0.7  [wr300=1.5%(66); by_enemy: alphabeta@2=1.5%(66)]
Game   67/1000000:       LOST  steps= 144  reward=-0.5  [wr300=1.5%(67); by_enemy: alphabeta@2=1.5%(67)]
Game   68/1000000:       LOST  steps= 128  reward=-0.7  [wr300=1.5%(68); by_enemy: alphabeta@2=1.5%(68)]
Game   69/1000000:       LOST  steps= 117  reward=-0.7  [wr300=1.4%(69); by_enemy: alphabeta@2=1.4%(69)]
Game   70/1000000:       LOST  steps=  84  reward=-0.7  [wr300=1.4%(70); by_enemy: alphabeta@2=1.4%(70)]
Game   71/1000000:       LOST  steps= 129  reward=-0.9  [wr300=1.4%(71); by_enemy: alphabeta@2=1.4%(71)]
Game   72/1000000:       LOST  steps=  96  reward=-0.7  [wr300=1.4%(72); by_enemy: alphabeta@2=1.4%(72)]
Game   73/1000000:       LOST  steps=  87  reward=-0.8  [wr300=1.4%(73); by_enemy: alphabeta@2=1.4%(73)]
Game   74/1000000:       LOST  steps= 148  reward=-0.6  [wr300=1.4%(74); by_enemy: alphabeta@2=1.4%(74)]
Game   75/1000000:       LOST  steps= 100  reward=-0.8  [wr300=1.3%(75); by_enemy: alphabeta@2=1.3%(75)]
Game   76/1000000:       LOST  steps= 101  reward=-0.8  [wr300=1.3%(76); by_enemy: alphabeta@2=1.3%(76)]
Game   77/1000000:       LOST  steps=  90  reward=-0.8  [wr300=1.3%(77); by_enemy: alphabeta@2=1.3%(77)]
Game   78/1000000:       LOST  steps= 107  reward=-0.9  [wr300=1.3%(78); by_enemy: alphabeta@2=1.3%(78)]
Game   79/1000000:       LOST  steps=  91  reward=-0.8  [wr300=1.3%(79); by_enemy: alphabeta@2=1.3%(79)]
Game   80/1000000:       LOST  steps=  67  reward=-0.9  [wr300=1.2%(80); by_enemy: alphabeta@2=1.2%(80)]
Game   81/1000000:       LOST  steps=  87  reward=-0.8  [wr300=1.2%(81); by_enemy: alphabeta@2=1.2%(81)]
Game   82/1000000:       LOST  steps= 126  reward=-0.7  [wr300=1.2%(82); by_enemy: alphabeta@2=1.2%(82)]
Game   83/1000000:       LOST  steps=  97  reward=-0.8  [wr300=1.2%(83); by_enemy: alphabeta@2=1.2%(83)]
Game   84/1000000:       LOST  steps= 115  reward=-0.8  [wr300=1.2%(84); by_enemy: alphabeta@2=1.2%(84)]
Game   85/1000000:       LOST  steps=  79  reward=-0.8  [wr300=1.2%(85); by_enemy: alphabeta@2=1.2%(85)]
Game   86/1000000:       LOST  steps=  79  reward=-0.9  [wr300=1.2%(86); by_enemy: alphabeta@2=1.2%(86)]
Game   87/1000000:       LOST  steps=  79  reward=-0.8  [wr300=1.1%(87); by_enemy: alphabeta@2=1.1%(87)]
  trained PPO on 4161 buffered transitions (games in batch: 43; trigger=steps: buffered transitions reached 4161)
